;;Topic1;Topic2;Topic3;Topic4;Topic5;Topic6;Topic7;Topic8
0;file:/C:/mallet/sample-data/web/en/elizabeth_needham.txt;1,08%;1,08%;4,53%;57,97%;4,53%;26,94%;1,08%;2,80%
1;file:/C:/mallet/sample-data/web/en/equipartition_theorem.txt;0,63%;1,63%;0,63%;0,63%;86,63%;2,63%;1,63%;5,63%
2;file:/C:/mallet/sample-data/web/en/gunnhild.txt;56,03%;6,62%;1,91%;0,74%;4,26%;25,44%;0,74%;4,26%
3;file:/C:/mallet/sample-data/web/en/hawes.txt;4,20%;69,66%;9,66%;0,57%;2,39%;6,93%;6,02%;0,57%
4;file:/C:/mallet/sample-data/web/en/hill.txt;3,49%;2,52%;6,37%;1,56%;2,52%;1,56%;5,41%;76,56%
5;file:/C:/mallet/sample-data/web/en/shiloh.txt;0,41%;51,73%;0,41%;2,38%;1,07%;31,99%;11,60%;0,41%
6;file:/C:/mallet/sample-data/web/en/sunderland_echo.txt;2,60%;1,61%;8,54%;2,60%;0,62%;1,61%;74,88%;7,55%
7;file:/C:/mallet/sample-data/web/en/thespis.txt;3,63%;6,63%;2,63%;30,63%;38,63%;3,63%;9,63%;4,63%
8;file:/C:/mallet/sample-data/web/en/thylacine.txt;9,42%;0,47%;66,88%;0,47%;0,47%;1,96%;5,69%;14,65%
9;file:/C:/mallet/sample-data/web/en/uranus.txt;65,11%;0,57%;6,02%;0,57%;18,75%;0,57%;6,93%;1,48%
10;file:/C:/mallet/sample-data/web/en/yard.txt;2,26%;0,54%;44,50%;0,54%;3,99%;41,92%;1,40%;4,85%
11;file:/C:/mallet/sample-data/web/en/zinta.txt;7,13%;6,39%;0,46%;67,13%;1,94%;0,46%;0,46%;16,02%
